Lake,Core,Time_median,Period,Species,Copies.DNA ng
Pounui,Depocenter,2021,European,Anguilla australis,0.045374562
Pounui,Depocenter,2018,European,Anguilla australis,0
Pounui,Depocenter,2011,European,Anguilla australis,0
Pounui,Depocenter,2005,European,Anguilla australis,0.005432135
Pounui,Depocenter,1998,European,Anguilla australis,0
Pounui,Depocenter,1991,European,Anguilla australis,0
Pounui,Depocenter,1983,European,Anguilla australis,0.009240932
Pounui,Depocenter,1975,European,Anguilla australis,0.009789391
Pounui,Depocenter,1968,European,Anguilla australis,0.023335495
Pounui,Depocenter,1952,European,Anguilla australis,0.011725999
Pounui,Depocenter,1937,European,Anguilla australis,0.010013389
Pounui,Depocenter,1922,European,Anguilla australis,0.012364904
Pounui,Depocenter,1907,European,Anguilla australis,0
Pounui,Depocenter,1895,European,Anguilla australis,0
Pounui,Depocenter,1884,European,Anguilla australis,0
Pounui,Depocenter,1876,European,Anguilla australis,0.02927488
Pounui,Depocenter,1863,European,Anguilla australis,0
Pounui,Depocenter,1855,European,Anguilla australis,0
Pounui,Depocenter,1848,European,Anguilla australis,0.052471286
Pounui,Depocenter,1804,Maori,Anguilla australis,0.047126302
Pounui,Depocenter,1734,Maori,Anguilla australis,0.050205657
Pounui,Depocenter,1661,Maori,Anguilla australis,0.088348041
Pounui,Depocenter,1575,Maori,Anguilla australis,0
Pounui,Depocenter,1482,Maori,Anguilla australis,0
Pounui,Depocenter,1400,Prehuman,Anguilla australis,0
Pounui,Depocenter,1351,Prehuman,Anguilla australis,0
Pounui,Depocenter,1324,Prehuman,Anguilla australis,0
Pounui,Depocenter,1306,Prehuman,Anguilla australis,0
Pounui,Depocenter,1278,Prehuman,Anguilla australis,0
Pounui,Depocenter,1242,Prehuman,Anguilla australis,0
Pounui,Depocenter,2021,European,Echyridella menziesii,0.379137588
Pounui,Depocenter,2018,European,Echyridella menziesii,0.096756743
Pounui,Depocenter,2011,European,Echyridella menziesii,0.050319379
Pounui,Depocenter,2005,European,Echyridella menziesii,0
Pounui,Depocenter,1998,European,Echyridella menziesii,0.021928941
Pounui,Depocenter,1991,European,Echyridella menziesii,0.021035
Pounui,Depocenter,1983,European,Echyridella menziesii,0.014803617
Pounui,Depocenter,1975,European,Echyridella menziesii,0.032374541
Pounui,Depocenter,1968,European,Echyridella menziesii,0
Pounui,Depocenter,1952,European,Echyridella menziesii,0
Pounui,Depocenter,1937,European,Echyridella menziesii,0.032266579
Pounui,Depocenter,1922,European,Echyridella menziesii,0.018943053
Pounui,Depocenter,1907,European,Echyridella menziesii,0.025412777
Pounui,Depocenter,1895,European,Echyridella menziesii,0.070666384
Pounui,Depocenter,1884,European,Echyridella menziesii,0.057306628
Pounui,Depocenter,1876,European,Echyridella menziesii,0.09793358
Pounui,Depocenter,1863,European,Echyridella menziesii,0.324613149
Pounui,Depocenter,1855,European,Echyridella menziesii,0.173026641
Pounui,Depocenter,1848,European,Echyridella menziesii,0.30886382
Pounui,Depocenter,1804,Maori,Echyridella menziesii,0.128232096
Pounui,Depocenter,1734,Maori,Echyridella menziesii,0.444380235
Pounui,Depocenter,1661,Maori,Echyridella menziesii,0
Pounui,Depocenter,1575,Maori,Echyridella menziesii,0
Pounui,Depocenter,1482,Maori,Echyridella menziesii,0
Pounui,Depocenter,1400,Prehuman,Echyridella menziesii,0
Pounui,Depocenter,1351,Prehuman,Echyridella menziesii,0
Pounui,Depocenter,1324,Prehuman,Echyridella menziesii,0
Pounui,Depocenter,1306,Prehuman,Echyridella menziesii,0
Pounui,Depocenter,1278,Prehuman,Echyridella menziesii,0
Pounui,Depocenter,1242,Prehuman,Echyridella menziesii,0
Pounui,Depocenter,2021,European,Perca fluviatilis,0.080459317
Pounui,Depocenter,2018,European,Perca fluviatilis,0.028925294
Pounui,Depocenter,2011,European,Perca fluviatilis,0.012499929
Pounui,Depocenter,2005,European,Perca fluviatilis,0
Pounui,Depocenter,1998,European,Perca fluviatilis,0
Pounui,Depocenter,1991,European,Perca fluviatilis,0.008028725
Pounui,Depocenter,1983,European,Perca fluviatilis,0
Pounui,Depocenter,1975,European,Perca fluviatilis,0
Pounui,Depocenter,1968,European,Perca fluviatilis,0.030304921
Pounui,Depocenter,1952,European,Perca fluviatilis,0
Pounui,Depocenter,1937,European,Perca fluviatilis,0.014244604
Pounui,Depocenter,1922,European,Perca fluviatilis,0
Pounui,Depocenter,1907,European,Perca fluviatilis,0.026656058
Pounui,Depocenter,1895,European,Perca fluviatilis,0.028075438
Pounui,Depocenter,1884,European,Perca fluviatilis,0
Pounui,Depocenter,1876,European,Perca fluviatilis,0.062926275
Pounui,Depocenter,1863,European,Perca fluviatilis,0
Pounui,Depocenter,1855,European,Perca fluviatilis,0
