Lake,Core,Time_median,Period,Metabarcoding_Sample_ID,Species,Method,relative_abundance,Meta_presence_absence
Pounui,Depocenter,2021,European,CAW-22-07-P2-31,Anguilla australis,Metabarcoding,0.160666308,Present
Pounui,Depocenter,2018,European,CAW-22-07-P2-32,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,2012,European,CAW-22-07-P2-33,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,2007,European,CAW-22-07-P2-34,Anguilla australis,Metabarcoding,0.227748691,Present
Pounui,Depocenter,2000,European,CAW-22-07-P2-35,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1994,European,CAW-22-07-P2-36,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1987,European,CAW-22-07-P2-37,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1980,European,CAW-22-07-P2-38,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1973,European,CAW-22-07-P2-39,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1958,European,CAW-22-07-P2-40,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1944,European,CAW-22-07-P2-41,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1930,European,CAW-22-07-P2-42,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1917,European,CAW-22-07-P2-43,Anguilla australis,Metabarcoding,1,Present
Pounui,Depocenter,1907,European,CAW-22-07-P2-44,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1897,European,CAW-22-07-P2-45,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1889,European,CAW-22-07-P2-46,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1870,European,CAW-22-07-P2-47,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1857,European,CAW-22-07-P2-48,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1848,European,CAW-22-07-P2-49,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1795,Maori,CAW-22-07-P2-50,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1719,Maori,CAW-22-07-P2-51,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1653,Maori,CAW-22-07-P2-52,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1572,Maori,CAW-22-07-P2-53,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1476,Maori,CAW-22-07-P2-54,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1392,Prehuman,CAW-22-07-P2-55,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1348,Prehuman,CAW-22-07-P2-56,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1323,Prehuman,CAW-22-07-P2-57,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1306,Prehuman,CAW-22-07-P2-58,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1282,Prehuman,CAW-22-07-P2-59,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,1248,Prehuman,CAW-22-07-P2-60,Anguilla australis,Metabarcoding,0,Absent
Pounui,Depocenter,2021,European,CAW-22-07-P2-31,Anguilla australis,ddPCR,0.538,Present
Pounui,Depocenter,2018,European,CAW-22-07-P2-32,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,2012,European,CAW-22-07-P2-33,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,2007,European,CAW-22-07-P2-34,Anguilla australis,ddPCR,0.06,Present
Pounui,Depocenter,2000,European,CAW-22-07-P2-35,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1994,European,CAW-22-07-P2-36,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1987,European,CAW-22-07-P2-37,Anguilla australis,ddPCR,0.06,Present
Pounui,Depocenter,1980,European,CAW-22-07-P2-38,Anguilla australis,ddPCR,0.061,Present
Pounui,Depocenter,1973,European,CAW-22-07-P2-39,Anguilla australis,ddPCR,0.13,Present
Pounui,Depocenter,1958,European,CAW-22-07-P2-40,Anguilla australis,ddPCR,0.07,Present
Pounui,Depocenter,1944,European,CAW-22-07-P2-41,Anguilla australis,ddPCR,0.063,Present
Pounui,Depocenter,1930,European,CAW-22-07-P2-42,Anguilla australis,ddPCR,0.06,Present
Pounui,Depocenter,1917,European,CAW-22-07-P2-43,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1907,European,CAW-22-07-P2-44,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1897,European,CAW-22-07-P2-45,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1889,European,CAW-22-07-P2-46,Anguilla australis,ddPCR,0.066,Present
Pounui,Depocenter,1870,European,CAW-22-07-P2-47,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1857,European,CAW-22-07-P2-48,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1848,European,CAW-22-07-P2-49,Anguilla australis,ddPCR,0.123,Present
Pounui,Depocenter,1795,Maori,CAW-22-07-P2-50,Anguilla australis,ddPCR,0.11,Present
Pounui,Depocenter,1719,Maori,CAW-22-07-P2-51,Anguilla australis,ddPCR,0.06,Present
Pounui,Depocenter,1653,Maori,CAW-22-07-P2-52,Anguilla australis,ddPCR,0.069,Present
Pounui,Depocenter,1572,Maori,CAW-22-07-P2-53,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1476,Maori,CAW-22-07-P2-54,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1392,Prehuman,CAW-22-07-P2-55,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1348,Prehuman,CAW-22-07-P2-56,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1323,Prehuman,CAW-22-07-P2-57,Anguilla australis,ddPCR,0,Absent
