Lake,Core,Period,Species,Conc.copies.uL.,DNA.total.conc
Pounui,Depocenter,European,Echyridella menziesii,2.7,52.2
Pounui,Depocenter,European,Echyridella menziesii,0.28,21.14
Pounui,Depocenter,European,Echyridella menziesii,0.28,40.8
Pounui,Depocenter,European,Echyridella menziesii,0,25.57
Pounui,Depocenter,European,Echyridella menziesii,0.11,37.6
Pounui,Depocenter,European,Echyridella menziesii,0.09,32.4
Pounui,Depocenter,European,Echyridella menziesii,0.06,30.7
Pounui,Depocenter,European,Echyridella menziesii,0.12,27.5
Pounui,Depocenter,European,Echyridella menziesii,0,23.6
Pounui,Depocenter,European,Echyridella menziesii,0,24.8
Pounui,Depocenter,European,Echyridella menziesii,0.12,27.8
Pounui,Depocenter,European,Echyridella menziesii,0.06,22.8
Pounui,Depocenter,European,Echyridella menziesii,0.06,18.1
Pounui,Depocenter,European,Echyridella menziesii,0.18,18.4
Pounui,Depocenter,European,Echyridella menziesii,0.07,8.49
Pounui,Depocenter,European,Echyridella menziesii,0.13,9.97
Pounui,Depocenter,European,Echyridella menziesii,0.3,6.71
Pounui,Depocenter,European,Echyridella menziesii,0.18,7.56
Pounui,Depocenter,European,Echyridella menziesii,0.43,10.3
Pounui,Depocenter,Maori,Echyridella menziesii,0.19,10.6
Pounui,Depocenter,Maori,Echyridella menziesii,0.25,4.12
Pounui,Depocenter,Maori,Echyridella menziesii,0,3.44
Pounui,Depocenter,Maori,Echyridella menziesii,0,2.19
Pounui,Depocenter,Maori,Echyridella menziesii,0,1.76
Pounui,Depocenter,Prehuman,Echyridella menziesii,0,4.8
Pounui,Depocenter,Prehuman,Echyridella menziesii,0,3.47
Pounui,Depocenter,Prehuman,Echyridella menziesii,0,3.69
Pounui,Depocenter,Prehuman,Echyridella menziesii,0,2.35
Pounui,Depocenter,Prehuman,Echyridella menziesii,0,1.64
Pounui,Depocenter,Prehuman,Echyridella menziesii,0,3.18
Pounui,Nearshore,European,Echyridella menziesii,3.24,39.45
Pounui,Nearshore,European,Echyridella menziesii,2.32,62.7
Pounui,Nearshore,European,Echyridella menziesii,0.12,33.5
Pounui,Nearshore,European,Echyridella menziesii,0,37.9
Pounui,Nearshore,European,Echyridella menziesii,0,18.03
Pounui,Nearshore,European,Echyridella menziesii,0,22.3
Pounui,Nearshore,European,Echyridella menziesii,0,11.425
Pounui,Nearshore,European,Echyridella menziesii,0.06,10.45
Pounui,Nearshore,European,Echyridella menziesii,0.05,5.055
Pounui,Nearshore,European,Echyridella menziesii,0.11,15.8
Pounui,Nearshore,European,Echyridella menziesii,0,5.4
Pounui,Nearshore,European,Echyridella menziesii,0.34,10.7
Pounui,Nearshore,European,Echyridella menziesii,0.28,6.645
Pounui,Nearshore,European,Echyridella menziesii,0.64,10.2
Pounui,Nearshore,European,Echyridella menziesii,0.16,4.645
Pounui,Nearshore,European,Echyridella menziesii,0.43,7.55
Pounui,Nearshore,European,Echyridella menziesii,0.17,6.59
Pounui,Nearshore,European,Echyridella menziesii,0.29,8.03
Pounui,Nearshore,European,Echyridella menziesii,0.17,6.67
Pounui,Nearshore,Maori,Echyridella menziesii,0.06,8.2
Pounui,Nearshore,Maori,Echyridella menziesii,0.22,4.29
